id,organizacao,setor_codificador_1,setor_codificador_2
99,Instituto Oncoguia (confirmada),,
100,Senador PL|RJ,,
101,Comissão de Educação da 1ª Câmara do Ministério Público Federal,,
102,Associação Nacional dos Detrans - AND,,
103,Associação Gaúcha dos Produtores de Bambu,,
104,SINDICATO DOS SERVIDORES DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS - SINDSEMP-MG,,
105,Associação Brasileira de Medicina de Tráfego - ABRAMET,,
106,"Paraíba, representando o Conselho Federal de Medicina",,
107,Conselho de Arquitetura e Urbanismo do Acre (CAU/AC),,
108,Sindicato Nacional dos Docentes das Instituições de Ensino Superior | ANDES - SN,,
109,Downstream do Instituto Brasileiro de Petróleo e Gás - IBP,,
110,"CLÉCIO LUIS, Governador do Estado do Amapá (confirmado) - REQ 94",,
111,Associação Ostomizados do Mato Grosso do Sul - AOMS,,
112,Associação dos Aposentados e Pensionistas Nacional - AAPEN,,
113,Confederação dos Servidores do Brasil - CSPB,,
114,Instituto Palavra Aberta,,
115,"FÓRUM DAS ENTIDADES REPRESENTATIVAS DOS SERVIDORES DA CULTURA (CONFIRMADA), E",,
116,Fundação Abrinq,,
117,Sociedade Civil na Negociação do Tratado Internacional sobre Plásticos,,
118,Federação Nacional de Sindicatos de Guardas Municipais - FENAGUARDAS,,
119,Secretaria Nacional de Políticas Penais do Ministério da Justiça e Segurança Pública,,
120,Centro Brasileiro de Relações Internacionais - CEBRI,,
121,Sindicato dos Jornalistas do Município do Rio de Janeiro,,
122,Federação Nacional dos Atletas Profissionais de Futebol (Fenapaf) (presencial),,
123,"NIOMAR DE SOUSA NOGUEIRA, Associação Nacional dos Advogados da União",,
124,Conselho Plano do Rio Grande (Confirmado),,
125,Central Estadual de Transplantes do Distrito Federal (CET-DF),,
126,Relações com Consumidores da ANATEL,,
127,"7) JOSÉ ROBERTO SAVOIA, Professor da Universidade de São Paulo (Confirmado)",,
128,Assembleia Legislativa do Estado do Tocantins/TO,,
129,Movimento dos Atingidos por Barragens em MG(confirmada),,
130,Sindicato Nacional dos Servidores das Agências Nacionais de Regulação - SINAGÊNCIAS,,
131,Associação Brasileira de Direito e Economia - ABDE,,
132,INSTITUTO IPA BRASIL,,
133,Instituto Reúna,,
134,Confederação das Associações Comerciais e Empresariais do Brasil (CACB),,
135,Polícia Federal - Coordenador-Geral de Controle de Serviços e Produtos - CGCSP/DPA,,
136,Ministério do Trabalho e Emprego (MTE),,
137,Ministro de Estado da Saúde ( confirmado),,
138,Federação de Pescadores do Estado de Rondônia,,
139,Empresa Solinftec,,
140,Coordenaddora de Oceanos e Águas do Instituto Arayara,,
141,Ministério da Saúde,,
142,Divisão de Repressão ao Trabalho Forçado da Policia Federal,,
143,"ABF Regional Centro-Oeste, representando a Associação Brasileira de Franchising (ABF)",,
144,Conselho Federal de Serviço Social (CFESS),,
145,Instituto do Coração - Faculdade de Medicina da USP,,
146,Movimento Estadual dos Profissionais Não Docentes do Acre,,
147,Sindicato dos Médicos do Estado de Sergipe (Sindimed),,
148,Movimento 8M,,
149,Ministério da Justiça e Segurança Pública | MJSP,,
150,Associação Brasileira do Biogás e do Biometano - ABIOGÁS,,
